ENTRY,CATEGORY,Text
VOID OF COURSE MOON,DEFINITIONS,"The Moon is void of course in the space of time between its last planetary aspect in a sign until it enters a new sign. This can happen for a few minutes up to a few days. During this period of time, emotions can be confusing, thoughts can be undefined, and energy levels tend to be low. This is a good time for dreaming and creative thinking, but not for checking tasks off of a to-do list."
CONJUNCTION,DEFINITIONS,"Conjunctions are formed when planets or important points are at the same degree. When this aspect occurs, the planets' energies tend to merge or work together. Sometimes stronger planets (like Jupiter, the Sun, or Saturn) can overpower other planets in the conjunction. "
SQUARE,DEFINITIONS,"Squares are formed when planets or important points are approximately 90° apart in the same quality (cardinal vs cardinal, etc.). This aspect is challenging because the signs' modes of operation are similar, but their priorities are different. Although this aspect causes tension and usually slows things down, it provides opportunities to work through differences in sustainable ways."
TRINE,DEFINITIONS,"Trines are formed when planets or important points are approximately 120° apart in the same element. This aspect is beneficial and the planets in play usually work together peacefully. However, the easy nature of this aspect means we can overlook the opportunities it provides."
OPPOSITION,DEFINITIONS,"Opposititions are formed when planets or important points are approximately 180° apart or opposite each other on the zodiacal wheel. They can feel challenging because the goals of the two signs are often similar, but their methods for meeting those goal are very different. This aspect provides opportunities to learn balance and view situations from multiple perspectives."
SEXTILE,DEFINITIONS,"Sextiles are formed when planets or important points are appoximately 60° apart in complementary elemental signs (fire/air OR earth/water). This aspect is beneficial, dynamic, and can inspire creative problem-solving."
MOON IN ARIES,MOON SIGN,"This moon seeks emotional satisfaction through healthy competition. We can feel a strong sense of urgency to get things done, which may lead to short fuses, and an aggressive approach to tackling problems. Aries moons are an excellent time to roll up our sleeves and get started on that new project."
MOON IN TAURUS,MOON SIGN,"This moon craves emotional stability through simplicity, comfort, and stillness. We can feel a strong sense of groundedness, which means we must keep an eye out for stubbornness. Taurus moons are an excellent time to connect with the Earth, engage in self-care, and eat good food with familiar faces."
MOON IN GEMINI,MOON SIGN,"This moon seeks emotional connection through experimenting, learning, and communicating. We can have an insatiable appetite to learn new things, but be careful of spreading information that is not ours to share. Gemini moons are perfect for exploring our interests by reading and/or writing, expanding our friendship circle, and indulging our curiosity. "
MOON IN CANCER,MOON SIGN,"This moon desires emotional balance through home, family ties, and care-taking. We can feel compelled to nurture those we love and heal our inner wounds, however, we should watch for overprotectedness and scuttling away into our crab shells. Cancer moons are a great time for long hugs, family gatherings, and cultivating a ""safe space"" at home."
MOON IN LEO,MOON SIGN,"This moon craves emotional stimulation through creativity, charisma, and applause. We can feel the need to shine bright for those in our social circles, but watch out for over-confident behavoir getting you into trouble. Leo moons are perfect for creative play, changing our appearance, and expressing our heart's desires."
MOON IN VIRGO,MOON SIGN,"This moon seeks emotional balance through skill sharing, healthy living, and setting realistic goals. We can feel driven to serve and provide assistance, but remember to genuinely help others instead trying to ""fix"" them. Virgo moons are excellent times to work towards improving a talent or skill, cleaning the house, or getting organized. "
